country,isVerified,ratingScore,reviewTitle,reviewDescription,variant,full_review,processed_text,vader_compound,vader_pos,vader_neg,vader_neu,textblob_polarity,textblob_subjectivity,aspects,sentiment_category,sentiment_numeric
India,True,4,No charger,"Every thing is good about iPhones, there's nothing compared to it's speed and ios but i was disappointed because there's no charger for it even though Indian judiciary told them to provide , still they haven't made any progress regarding charger. Why should we spend 62k and more than that for iPhones because of it's brand and Acessories comfort size and Features right if that's not there what's point of buying an iPhone.Thank you🙏",Colour: MidnightSize: 256 GB,"No charger Every thing is good about iPhones, there's nothing compared to it's speed and ios but i was disappointed because there's no charger for it even though Indian judiciary told them to provide , still they haven't made any progress regarding charger. Why should we spend 62k and more than that for iPhones because of it's brand and Acessories comfort size and Features right if that's not there what's point of buying an iPhone.Thank you🙏 Colour: MidnightSize: 256 GB",charger every thing good iphones there nothing compared speed io disappointed there charger even though indian judiciary told provide still havent made progress regarding charger spend k iphones brand acessories comfort size feature right thats whats point buying iphonethank colour midnightsize gb,-0.7467,0.059,0.13,0.811,0.1839285714285714,0.5964285714285714,"{'charger': 0.4215, 'Every': 0.1779, 'thing': 0.1779, 'iPhones': 0.0, 'nothing': 0.0, 'speed': 0.0, 'ios': 0.0, 'i': -0.631, 'judiciary': 0.0, 'progress': -0.3252, 'brand': 0.3612, 'Acessories': 0.3612, 'comfort': 0.3612, 'size': 0.3612, 'Features': 0.3612, 'point': 0.0, 'you🙏': 0.0, 'Colour': 0.0, 'MidnightSize': 0.0, 'GB': 0.0}",Negative,0
India,True,5,iPhone 13 256GB,"It look so fabulous, I am android user switched to apple, performance wise iPhone is more better than android due to A15 Bionic chip. I feel pleasant while using iPhone in hand. I like it very much 😍❤️",Colour: MidnightSize: 256 GB,"iPhone 13 256GB It look so fabulous, I am android user switched to apple, performance wise iPhone is more better than android due to A15 Bionic chip. I feel pleasant while using iPhone in hand. I like it very much 😍❤️ Colour: MidnightSize: 256 GB",iphone gb look fabulous android user switched apple performance wise iphone better android due bionic chip feel pleasant using iphone hand like much colour midnightsize gb,0.9621,0.353,0.0,0.647,0.4240476190476191,0.643095238095238,"{'iPhone': 0.7579, 'user': 0.0, 'apple': 0.4767, 'performance': 0.4767, 'wise': 0.4767, 'android': 0.4927, 'A15': 0.0, 'Bionic': 0.0, 'chip': 0.0, 'hand': 0.4939, 'Colour': 0.0, 'MidnightSize': 0.0, 'GB': 0.0}",Positive,2
India,True,4,Flip camera option nill,"I tried to flip camera while recording but no facility is added here. You have to pause first then you can flip from back to front or vice versa it means you can't continue it, very awkward position. Iphone software should be upgraded so that we can make it go. It's very essential for a content creator. I purchased gimbal dji om se but it could not provided that, it's very essential for a vlogger but I was fed up after finding the basic requirements wasn't built in these products !",Colour: MidnightSize: 256 GB,"Flip camera option nill I tried to flip camera while recording but no facility is added here. You have to pause first then you can flip from back to front or vice versa it means you can't continue it, very awkward position. Iphone software should be upgraded so that we can make it go. It's very essential for a content creator. I purchased gimbal dji om se but it could not provided that, it's very essential for a vlogger but I was fed up after finding the basic requirements wasn't built in these products ! Colour: MidnightSize: 256 GB",flip camera option nill tried flip camera recording facility added pause first flip back front vice versa mean cant continue awkward position iphone software upgraded make go essential content creator purchased gimbal dji om se could provided essential vlogger fed finding basic requirement wasnt built product colour midnightsize gb,-0.6632,0.0,0.056,0.944,-0.08833333333333333,0.37305555555555553,"{'Flip': 0.0, 'camera': 0.0, 'option': 0.0, 'nill': 0.0, 'facility': -0.4215, 'vice': 0.0, 'position': -0.2247, 'Iphone': 0.0, 'software': 0.0, 'creator': 0.0, 'dji': 0.0, 'om': 0.0, 'se': 0.0, 'vlogger': 0.0, 'requirements': 0.0, 'products': 0.0, 'Colour': 0.0, 'MidnightSize': 0.0, 'GB': 0.0}",Negative,0
India,True,5,Product,100% genuine,Colour: MidnightSize: 256 GB,Product 100% genuine Colour: MidnightSize: 256 GB,product genuine colour midnightsize gb,0.0,0.0,0.0,1.0,0.4,0.5,"{'%': 0.0, 'Colour': 0.0, 'MidnightSize': 0.0, 'GB': 0.0}",Neutral,1
India,True,5,Good product,Happy to get the iPhone 13 in Amazon offer,Colour: MidnightSize: 256 GB,Good product Happy to get the iPhone 13 in Amazon offer Colour: MidnightSize: 256 GB,good product happy get iphone amazon offer colour midnightsize gb,0.8074,0.409,0.0,0.591,0.75,0.8,"{'product': 0.765, 'Happy': 0.765, 'iPhone': 0.1779, 'Amazon': 0.1779, 'Colour': 0.1779, 'MidnightSize': 0.0, 'GB': 0.0}",Positive,2
India,True,5,Too smooth and effective battery life,5 star 👍,Colour: MidnightSize: 256 GB,Too smooth and effective battery life 5 star 👍 Colour: MidnightSize: 256 GB,smooth effective battery life star colour midnightsize gb,0.4767,0.237,0.0,0.763,0.5,0.65,"{'Too': 0.4767, 'battery': 0.4767, 'life': 0.4767, 'star': 0.0, '👍': 0.0, 'Colour': 0.0, 'MidnightSize': 0.0, 'GB': 0.0}",Positive,2
India,True,5,Apple 13 256 GB,"Great Product... Nothing to say, as the Name APPLE is own identity of this product.. All is well, recommendation is 100% . Just grab this product else you missed something....",Colour: MidnightSize: 256 GB,"Apple 13 256 GB Great Product... Nothing to say, as the Name APPLE is own identity of this product.. All is well, recommendation is 100% . Just grab this product else you missed something.... Colour: MidnightSize: 256 GB",apple gb great product nothing say name apple identity product well recommendation grab product else missed something colour midnightsize gb,0.6124,0.146,0.052,0.802,0.7,0.875,"{'Apple': 0.0, 'GB': 0.0, 'Great': 0.6249, 'Product': 0.6249, 'Nothing': 0.0, 'Name': 0.0, 'APPLE': 0.0, 'identity': 0.0, 'product': -0.296, 'recommendation': 0.2732, '%': 0.0, 'grab': 0.0, 'something': -0.296, 'Colour': -0.296, 'MidnightSize': 0.0}",Positive,2
India,True,5,Good,Good product 😀💯,Colour: MidnightSize: 256 GB,Good Good product 😀💯 Colour: MidnightSize: 256 GB,good good product colour midnightsize gb,0.7003,0.492,0.0,0.508,0.7,0.6000000000000001,"{'Good': 0.7003, 'product': 0.7003, 'Colour': 0.4404, 'MidnightSize': 0.0, 'GB': 0.0}",Positive,2
India,True,4,Good,Nice product,Colour: MidnightSize: 256 GB,Good Nice product Colour: MidnightSize: 256 GB,good nice product colour midnightsize gb,0.6908,0.533,0.0,0.467,0.6499999999999999,0.8,"{'Nice': 0.6908, 'product': 0.6908, 'Colour': 0.6908, 'MidnightSize': 0.0, 'GB': 0.0}",Positive,2
India,True,5,Excellent,Excellent product,Colour: MidnightSize: 256 GB,Excellent Excellent product Colour: MidnightSize: 256 GB,excellent excellent product colour midnightsize gb,0.8126,0.597,0.0,0.403,1.0,1.0,"{'Excellent': 0.8126, 'product': 0.8126, 'Colour': 0.8126, 'MidnightSize': 0.0, 'GB': 0.0}",Positive,2
